answer,value,artists,,,,,,,,
Bad and Boujee,0.927,Migos,,,,,,,,
Fake Love,0.927,Drake,,,,,,,,
HUMBLE,0.904,Kendrick Lamar,,,,,,,,
Feels,0.893,Calvin Harris,,,,,,,,
Bank Account,0.884,21 Savage,,,,,,,,
You Dont Know Me,0.876,Jax Jones(Radio Edit),,,,,,,,
Strip That Down,0.869,Liam Payne,,,,,,,,
Theres Nothing Holdin Me Back,0.857,Shawn Mendes,,,,,,,,
Your Song,0.855,Rita Ora,,,,,,,,
Thats What I Like,0.853,Bruno Mars,,,,,,,,
Chantaje,0.852,Shakira,,,,,,,,
goosebumps,0.841,Travis Scott,,,,,,,,
Mask Off,0.833,Future,,,,,,,,
Otra Vez,0.832,Zion & Lennox,,,,,,,,
Shape of You,0.825,Ed Sheeran,,,,,,,,
24K Magic,0.818,Bruno Mars,,,,,,,,
Passionfruit,0.809,Drake,,,,,,,,
Young Dumb & Broke,0.798,Khalid,,,,,,,,
One Dance,0.791,Drake,,,,,,,,
Hear Me Now,0.789,Alok,,,,,,,,
total,17.033,,,,,,,,,
